user_id,request_type,type_id,request_timestamp
0q4YWLAG,Fraud,5,2019-04-25 19:30:33
NRBTH6zr,The review was deleted,7,2019-03-08 10:44:56
vIhVNd3A,Sale of prohibited items,6,2019-03-07 14:29:33
RIx1A3Kp,Website not working,1,2019-03-25 14:18:57
GfTJhtE6,The review was deleted,7,2019-03-28 18:54:39
mMylBpiO,Fake reviews,2,2019-04-14 14:12:47
nLZ7qh3M,Complaint about a video review,8,2019-03-11 20:45:32
v4LrROr7,Fraud,5,2019-03-21 19:34:30
KzfGCJGz,Fake reviews,2,2019-03-27 11:46:44
NH2wBznr,Fake reviews,2,2019-03-26 20:40:44
cm9wK6zD,Complaint about a video review,8,2019-04-21 14:37:10
0qDp1N5Q,Complaint about a store item,3,2019-03-26 16:44:31
rVlmbJuw,Complaint about a store item,3,2019-03-07 10:32:41
Om8xcX4d,Fake reviews,2,2019-04-18 15:56:27
r3N5clpf,Complaint about a store item,3,2019-03-28 15:27:21
ogMYn6l8,Sale of prohibited items,6,2019-04-05 10:51:10
Lpu1yloQ,The review was deleted,7,2019-03-13 14:18:34
gUx06zxV,Complaint about a video review,8,2019-03-07 15:43:31
95xpC7RL,Complaint about a store item,3,2019-03-14 16:27:10
I5RBSIce,Sale of prohibited items,6,2019-04-01 21:22:27
wDuZmut3,Website not working,1,2019-04-01 10:58:54
N2wjMkSN,Complaint about a store item,3,2019-03-08 16:54:30
a4DxdmL1,Website not working,1,2019-03-25 16:25:28
zwEmswHq,Fake reviews,2,2019-04-28 19:34:44
e5FrYmpk,Complaint about a video review,8,2019-04-23 13:25:32
hqFsihW2,Website not working,1,2019-04-07 12:43:17
LDUxNweq,Complaint about a store item,3,2019-04-03 19:53:54
cgKzHEng,Sale of prohibited items,6,2019-03-03 21:46:49
pQtANmU5,Fraud,5,2019-04-07 16:56:46
jTnOSJsA,The review was deleted,7,2019-03-05 18:48:16
GqDENLvR,The review was deleted,7,2019-04-14 19:21:19
5nESMDEJ,Fraud,5,2019-04-09 18:26:24
7rhlbFXb,Fraud,5,2019-04-23 18:16:17
vaE4RhzH,Sale of prohibited items,6,2019-03-17 10:58:24
kz3jS3BW,Sale of prohibited items,6,2019-04-30 16:52:13
vuaIgIo2,Website not working,1,2019-04-07 11:21:52
c89c1P6F,The review was deleted,7,2019-04-28 12:23:12
M615qRJE,Sale of prohibited items,6,2019-03-21 15:32:23
qiahRf7P,Website not working,1,2019-04-27 16:27:46
6cZNUlAu,Fake reviews,2,2019-04-08 20:10:25
vFN8G25L,Fake reviews,2,2019-04-10 14:13:24
TMknUAmS,Sale of counterfeited items,4,2019-04-24 10:38:31
buyPoTnU,Website not working,1,2019-04-01 13:43:38
m5QDthYG,Website not working,1,2019-04-06 16:52:40
Ou1muPnK,Fake reviews,2,2019-04-17 10:13:57
PZns7A1G,Fraud,5,2019-04-13 17:27:40
Ph1zDzne,Fraud,5,2019-04-30 15:40:14
xxdveMoc,Fraud,5,2019-04-29 10:43:35
MhAZNr7P,Sale of prohibited items,6,2019-04-08 20:43:52
HRF6OP8a,Complaint about a video review,8,2019-03-18 18:53:54
ARSCqwwx,Sale of counterfeited items,4,2019-04-16 12:32:48
xfcWdZtA,Complaint about a store item,3,2019-03-05 17:30:37
cyDbh8dl,Fraud,5,2019-03-16 11:24:32
t259er6Q,Complaint about a store item,3,2019-03-19 18:53:14
hDjYt8N8,Sale of counterfeited items,4,2019-04-02 20:51:32
jXl5UPU9,Complaint about a store item,3,2019-03-21 10:27:11
Hn50tCbu,Sale of counterfeited items,4,2019-04-23 17:59:28
lzwOn29F,Website not working,1,2019-04-24 15:55:59
MCJw1isH,Complaint about a store item,3,2019-03-05 13:45:53
ARMz5FJP,Fraud,5,2019-03-21 19:24:15
buEbOZJu,Fake reviews,2,2019-03-19 11:15:12
NmW2helm,Fraud,5,2019-04-14 17:42:42
MxdMAPO5,Sale of counterfeited items,4,2019-04-05 12:19:32
yMBGTygE,Complaint about a video review,8,2019-03-11 17:36:44
9iWSazR8,Fraud,5,2019-03-28 11:49:56
4DP8ba2b,The review was deleted,7,2019-03-16 21:52:33
ThI3CL9A,Complaint about a store item,3,2019-03-09 16:17:35
PCKVrDYE,Complaint about a store item,3,2019-03-15 19:26:57
QlBL71PX,Website not working,1,2019-04-10 19:47:40
VWS66Nby,Sale of counterfeited items,4,2019-03-24 10:31:19
z4A7oF4D,Fraud,5,2019-03-22 13:12:30
A916Ilhm,Fraud,5,2019-03-08 14:22:20
oJeel9Yl,Fraud,5,2019-04-12 11:50:52
fPOs7zwY,Fraud,5,2019-03-30 19:45:45
4F4IIfIa,Complaint about a store item,3,2019-04-05 19:42:51
xYpQF0oQ,Website not working,1,2019-04-29 13:44:50
PwXCMLMU,Complaint about a store item,3,2019-04-08 20:44:49
kbPEC2rw,Fraud,5,2019-04-25 11:20:25
pp80bNOd,Fraud,5,2019-03-19 16:31:19
SogNkzLh,Complaint about a video review,8,2019-03-25 12:29:28
GQzGLEON,Sale of prohibited items,6,2019-03-18 15:23:20
QKbStnEO,Sale of counterfeited items,4,2019-03-18 16:19:18
lgPuClbs,Website not working,1,2019-03-15 11:35:39
yf7gfnLe,Sale of counterfeited items,4,2019-04-10 12:42:10
o4ASaV8y,Website not working,1,2019-04-24 17:57:38
nps1A0Um,Complaint about a store item,3,2019-04-06 11:42:26
ElF50Vj2,The review was deleted,7,2019-04-16 13:26:18
RKBiinpm,Complaint about a store item,3,2019-03-16 18:47:59
jgZ1BwYM,Sale of prohibited items,6,2019-03-17 11:13:54
6YUUni5C,The review was deleted,7,2019-03-13 21:54:44
6hdO8cis,Fraud,5,2019-04-16 14:49:59
drq0Ux2B,Complaint about a store item,3,2019-04-03 14:24:30
935JOW8m,Sale of prohibited items,6,2019-04-14 12:30:30
lvKCJ7kT,Sale of counterfeited items,4,2019-03-04 11:26:38
H9fClvEK,Sale of prohibited items,6,2019-03-11 14:52:52
JgYrKHGW,Sale of counterfeited items,4,2019-04-01 17:52:31
HF4ykgjv,Fraud,5,2019-04-07 14:28:40
SiPynqPk,The review was deleted,7,2019-04-01 16:29:17
qRbwJS4L,Complaint about a store item,3,2019-04-13 16:43:43
7PfrgySA,Fake reviews,2,2019-03-12 15:41:45
RJ35jYs3,Fraud,5,2019-03-20 19:11:41
vzp2ot7i,Complaint about a store item,3,2019-03-03 14:53:57
CDhTuEZF,Sale of counterfeited items,4,2019-03-25 16:29:39
USZAW3my,Fraud,5,2019-03-29 13:59:39
bCoWqi8p,Sale of counterfeited items,4,2019-03-16 14:57:30
ulojLkXA,Complaint about a video review,8,2019-04-21 12:33:31
vw0fwWKF,The review was deleted,7,2019-04-28 13:33:23
R6QZuWyL,Complaint about a store item,3,2019-03-01 10:19:56
osK5eD8E,Complaint about a store item,3,2019-04-27 13:26:32
TzqNhdoR,Sale of prohibited items,6,2019-04-24 16:17:36
7L71LMln,Sale of counterfeited items,4,2019-04-06 10:32:31
q2VS5W8l,Sale of counterfeited items,4,2019-04-21 21:38:10
qmQS65jX,Complaint about a store item,3,2019-04-28 15:30:41
if5yxqW1,Complaint about a store item,3,2019-04-07 20:30:28
yQUla0eW,Complaint about a store item,3,2019-03-27 15:27:28
wdSvEZzQ,Complaint about a store item,3,2019-03-14 19:53:57
WueDedif,The review was deleted,7,2019-04-13 12:43:16
sKkKa5fz,Fraud,5,2019-04-01 16:57:18
PGG4Zm8V,Complaint about a store item,3,2019-04-21 16:11:37
jmZ6v0fL,Sale of counterfeited items,4,2019-03-27 21:30:35
Z2nP8bZO,Website not working,1,2019-03-14 12:54:38
q6Ki7Sjk,Fraud,5,2019-04-04 10:36:46
djUiLESj,The review was deleted,7,2019-03-07 14:34:13
ABy4WwAc,Website not working,1,2019-03-08 18:20:58
KiFis2qQ,Website not working,1,2019-04-18 18:42:14
9LmGJvDs,Complaint about a store item,3,2019-04-29 12:32:37
zqX3CZsX,Complaint about a video review,8,2019-03-04 15:27:23
6yWhRKuf,Fraud,5,2019-03-09 14:18:46
WpX23Chz,Fake reviews,2,2019-03-04 21:56:54
pvwxdYGF,Complaint about a store item,3,2019-03-26 14:23:20
3WvhTGEB,The review was deleted,7,2019-04-06 20:49:20
RMlGPEbT,Complaint about a video review,8,2019-04-24 14:42:36
wGmRWYBB,Website not working,1,2019-04-20 13:23:54
HR7TPlMj,Sale of counterfeited items,4,2019-04-08 11:38:45
W1BKYjif,Complaint about a video review,8,2019-03-01 12:30:52
6iR4CbrV,Sale of prohibited items,6,2019-04-21 11:25:13
Rigreys6,Website not working,1,2019-04-27 10:44:23
4I2b02qV,Complaint about a store item,3,2019-04-08 21:16:28
ErYwunFQ,Complaint about a store item,3,2019-03-07 14:39:32
u1nyBFPX,Website not working,1,2019-03-30 16:10:22
tl1NDB80,Sale of prohibited items,6,2019-04-21 16:44:26
7XmVCRRf,Sale of prohibited items,6,2019-04-02 15:21:45
ArGyFTyd,The review was deleted,7,2019-03-15 14:10:54
MGhdCs3o,Complaint about a video review,8,2019-03-09 12:31:13
lK6yDerQ,Complaint about a store item,3,2019-04-23 10:14:52
fok97tYl,Fraud,5,2019-03-29 11:44:32
gGvoWC5n,Complaint about a store item,3,2019-04-28 15:38:40
Li41JWkg,Sale of prohibited items,6,2019-03-24 21:44:28
cZ8eaJa9,Sale of counterfeited items,4,2019-03-27 20:17:56
63XYkJsa,Fraud,5,2019-03-12 21:52:45
bhPZa8eq,Fake reviews,2,2019-04-29 21:45:47
4z2utnwX,Fraud,5,2019-04-09 19:11:39
rmxoZbBX,Sale of prohibited items,6,2019-03-25 21:18:41
bwa1sUvQ,Sale of counterfeited items,4,2019-03-09 11:14:47
B73gk7L3,Sale of prohibited items,6,2019-04-10 13:27:26
knDzPSut,Fraud,5,2019-03-30 14:39:10
rvMQOuxi,The review was deleted,7,2019-03-26 17:24:53
1wufJks1,Website not working,1,2019-03-09 15:17:17
JGjq2OAf,Sale of counterfeited items,4,2019-03-04 10:17:54
vVe5HvXG,Fraud,5,2019-04-17 17:55:42
9XkcQZQ4,Fake reviews,2,2019-03-04 13:25:48
m0GgQyUT,Fake reviews,2,2019-03-29 18:47:14
CuzXXh8w,Website not working,1,2019-04-04 15:58:22
6WY3enQU,Complaint about a video review,8,2019-03-20 18:37:18
w73AkBtc,Sale of counterfeited items,4,2019-04-26 10:39:33
igY8HbNT,Fraud,5,2019-04-11 11:53:29
LKRSPTpg,Complaint about a store item,3,2019-04-18 17:18:46
IWwodmSN,Sale of prohibited items,6,2019-04-24 21:58:23
YhnCVq6d,Fraud,5,2019-03-25 13:23:16
jh7JIfOX,Complaint about a store item,3,2019-03-23 11:51:11
SO9Rgiuu,Complaint about a store item,3,2019-04-14 15:51:23
KQhhKy38,Sale of counterfeited items,4,2019-04-08 14:59:52
aoHuFssy,Complaint about a video review,8,2019-03-17 14:40:28
uAG2pyx7,Complaint about a store item,3,2019-03-26 14:32:42
yuxvnpc1,Website not working,1,2019-04-10 15:13:24
OdYhUDhN,Complaint about a store item,3,2019-03-19 19:46:27
yk2gbDKo,Sale of counterfeited items,4,2019-03-18 20:38:43
j6Aa5CXj,The review was deleted,7,2019-03-01 16:35:34
BR3Poce8,Fraud,5,2019-03-30 18:38:44
8oRujqdb,Complaint about a store item,3,2019-04-10 16:42:10
j3VIVI9t,Fake reviews,2,2019-04-18 17:17:29
aeStWbzA,Sale of prohibited items,6,2019-03-23 16:51:57
RlbkUyaG,Fraud,5,2019-03-30 17:42:20
MFBhSO0v,Sale of prohibited items,6,2019-04-29 13:44:14
0DEAXmku,Sale of prohibited items,6,2019-04-29 13:23:26
wXJD350N,Fraud,5,2019-04-22 17:29:56
Pof949dS,Website not working,1,2019-03-15 12:53:37
kjQJTORw,Sale of counterfeited items,4,2019-03-21 14:40:58
64defdMl,Fraud,5,2019-04-28 21:28:16
5Vi0ZUhN,Fraud,5,2019-04-28 11:49:41
zgYvtT1A,Fraud,5,2019-04-29 18:25:15
kx6K06HE,Sale of prohibited items,6,2019-03-08 17:11:39
nYOCBzQw,Complaint about a video review,8,2019-04-26 18:26:47
W7HUTLWX,Complaint about a store item,3,2019-03-01 16:51:27
7FhV1ywg,Fraud,5,2019-04-27 18:49:37
3YqwFklz,Fraud,5,2019-04-13 15:38:44
vFB4cXQO,Fraud,5,2019-04-13 10:43:55
ioTSeBfT,Fraud,5,2019-04-24 18:29:15
wOks1Whf,Sale of prohibited items,6,2019-04-06 18:16:36
yy7fr7Um,Complaint about a store item,3,2019-03-26 11:14:40
oWyOEZne,The review was deleted,7,2019-04-27 15:10:34
el8ykhdQ,Fraud,5,2019-03-11 10:34:18
ZIZgcpAI,Sale of prohibited items,6,2019-03-15 13:38:26
D9BApT4Y,Fake reviews,2,2019-04-02 19:19:45
WWGwA38v,Complaint about a store item,3,2019-03-08 11:36:17
UJjcwCEB,Complaint about a store item,3,2019-03-06 16:26:25
RDQKfTDL,Fraud,5,2019-04-11 11:45:53
zjP3J7EF,Website not working,1,2019-03-15 16:22:19
RnXytLwV,Fake reviews,2,2019-03-03 12:45:32
F1AAP50y,Fraud,5,2019-04-13 17:27:18
YSbgzPBK,Sale of counterfeited items,4,2019-04-21 15:22:27
hjubcgsf,Sale of counterfeited items,4,2019-04-17 11:30:24
Ru6uoPUt,Sale of counterfeited items,4,2019-04-28 21:48:53
Cpqc0PPM,Complaint about a video review,8,2019-03-04 11:26:30
Hn4B0IS7,Fake reviews,2,2019-03-18 19:33:30
w3erZRP9,Fraud,5,2019-04-12 16:16:44
ogVU9gCd,Fake reviews,2,2019-04-19 12:54:59
oR9yREh8,Sale of prohibited items,6,2019-03-19 12:13:57
oRKLtLPA,Fraud,5,2019-04-09 21:41:13
qnmvynct,Fake reviews,2,2019-04-19 12:32:13
o0S5keYY,Complaint about a video review,8,2019-04-08 10:26:46
4rd4n16y,The review was deleted,7,2019-03-13 11:56:31
4AKWI6gT,Sale of counterfeited items,4,2019-03-02 20:43:25
6PNyvld2,Complaint about a store item,3,2019-04-29 20:22:31
LTka8xoy,Sale of prohibited items,6,2019-04-18 17:48:12
4lPNYfQE,Complaint about a store item,3,2019-04-05 11:18:35
ng3aS6sp,Fraud,5,2019-04-23 13:44:21
aOY95Pf1,Fraud,5,2019-03-12 14:40:44
E1IxgyjY,Sale of counterfeited items,4,2019-04-07 17:23:34
6fs334aK,Fake reviews,2,2019-04-24 11:50:47
XoeAsYvs,Complaint about a video review,8,2019-04-24 17:27:52
yMr4G11m,Website not working,1,2019-03-16 19:28:53
VMw1PInW,Fake reviews,2,2019-04-30 16:45:43
CJ0QBAhd,The review was deleted,7,2019-04-26 21:55:14
O7KP1dmy,Complaint about a video review,8,2019-03-14 14:46:50
pZdyIwwE,Fraud,5,2019-04-08 18:44:46
OODMA5Bs,Sale of prohibited items,6,2019-04-25 13:31:23
pf4oQedI,Fake reviews,2,2019-04-03 15:10:11
RMdfrjwj,Fake reviews,2,2019-03-26 17:57:58
vdMGQbaf,The review was deleted,7,2019-03-18 14:33:49
2yMhWjvj,Complaint about a store item,3,2019-04-28 11:50:59
t0enacCi,The review was deleted,7,2019-04-22 11:35:53
7Ttsw3cS,Complaint about a video review,8,2019-04-29 21:32:38
H711AqnX,Complaint about a store item,3,2019-04-10 12:55:15
bjRkhGxz,Sale of counterfeited items,4,2019-03-29 19:59:40
bjL8HlAH,Sale of counterfeited items,4,2019-04-11 17:24:32
kZteuRUB,Complaint about a store item,3,2019-03-04 20:20:32
qhOXOlJj,Fake reviews,2,2019-03-03 21:55:32
fXnX1yYt,The review was deleted,7,2019-04-17 12:48:51
xjYekoCr,Website not working,1,2019-04-26 13:50:33
fKYComsI,Sale of counterfeited items,4,2019-04-15 19:14:51
XTdWVb4T,Sale of counterfeited items,4,2019-03-21 20:45:52
YaBi2cTu,Fraud,5,2019-04-11 19:39:22
8I7x50S8,Complaint about a store item,3,2019-04-21 17:33:58
xxvtax1N,Complaint about a store item,3,2019-03-04 17:28:49
vt1Pc1xg,Fraud,5,2019-04-15 11:58:41
7vZOTDKm,Sale of prohibited items,6,2019-03-08 21:47:56
MNmmQOAg,Complaint about a store item,3,2019-03-19 12:25:47
3tsqmonf,Complaint about a store item,3,2019-03-18 12:24:27
pfv5V5yP,Website not working,1,2019-03-29 18:31:24
voJIemUy,Complaint about a video review,8,2019-04-30 16:35:34
SaSayfZl,Complaint about a store item,3,2019-04-17 20:42:43
T6hPGxKm,Complaint about a video review,8,2019-04-19 13:34:53
jUhg4v17,Complaint about a video review,8,2019-03-15 19:14:43
Vmm1BGAS,Website not working,1,2019-03-14 21:17:41
y3HfqyPt,Fraud,5,2019-04-24 13:50:16
GBQipEqt,Complaint about a store item,3,2019-03-29 16:53:17
CcCtekYa,Website not working,1,2019-04-23 20:24:14
8CJqXQRO,Fraud,5,2019-04-22 17:37:26
C6hiqHac,Fraud,5,2019-03-20 12:30:52
TO36FleI,Sale of prohibited items,6,2019-03-25 19:19:55
XRGhHddZ,Complaint about a store item,3,2019-03-02 12:22:43
6gYjmjjC,Complaint about a video review,8,2019-03-02 11:12:29
ZYTB6KlZ,Complaint about a video review,8,2019-03-30 13:49:11
a6cGnLSf,Complaint about a video review,8,2019-03-24 17:10:48
ONrMmcn1,Sale of prohibited items,6,2019-04-10 18:36:15
omb2TXu6,Fraud,5,2019-03-25 12:44:19
aRu0FMxJ,The review was deleted,7,2019-04-03 18:42:49
